Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Knock Correction Advance (degrees)
32893,0.00,0.00,12.63,13.52,183,0.20,1206,0.00,0.00,33.33,16,13.00,1.54,102,-10.88,1.34,0.00,0.00,0.00
33150,0.00,0.00,12.63,13.44,183,0.19,1213,0.00,0.00,33.33,16,11.50,1.56,102,-10.88,1.34,0.00,0.00,0.00
33406,0.00,0.00,12.52,13.44,183,0.19,1228,0.00,0.00,33.33,16,11.50,1.57,102,-10.88,1.34,0.00,0.00,0.00
33664,0.00,0.00,12.52,13.68,183,0.19,1224,0.00,0.00,33.33,16,11.50,1.56,102,-11.03,1.34,0.00,0.00,0.00
33921,0.00,0.00,12.52,13.76,183,0.20,1212,0.00,0.00,33.33,16,13.00,1.56,102,-10.88,1.34,0.00,0.00,0.00
34177,0.00,0.00,12.40,13.76,183,0.19,1215,0.00,0.00,33.33,16,14.00,1.56,102,-10.88,1.34,0.00,0.00,0.00
34434,0.00,0.00,12.52,13.76,183,0.19,1225,0.00,0.00,33.33,16,11.50,1.57,102,-10.88,1.34,0.00,0.00,0.00
34691,0.00,0.00,12.52,13.76,183,0.19,1217,0.00,0.00,33.33,16,12.50,1.56,102,-10.88,1.34,0.00,0.00,0.00
34947,0.00,0.00,12.52,13.76,183,0.19,1230,0.00,0.00,33.33,16,13.00,1.57,102,-11.03,1.34,0.00,0.00,0.00
35204,0.00,0.00,12.63,13.76,183,0.19,1228,0.00,0.00,33.33,16,12.00,1.57,102,-11.03,1.34,0.00,0.00,0.00
35461,0.00,0.00,12.52,13.68,183,0.19,1221,0.00,0.00,33.33,16,13.00,1.56,102,-11.03,1.34,0.00,0.00,0.00
35717,0.00,0.00,12.63,13.68,183,0.20,1221,0.00,0.00,33.33,16,12.50,1.56,102,-11.03,1.34,0.00,0.00,0.00
35975,0.00,0.00,12.63,13.68,183,0.19,1228,0.00,0.00,33.33,16,11.50,1.57,102,-10.88,1.34,0.00,0.00,0.00
36232,0.00,0.00,12.52,13.60,183,0.19,1226,0.00,0.00,33.33,16,13.50,1.55,102,-11.03,1.34,0.00,0.00,0.00
36488,0.00,0.00,12.52,13.52,183,0.20,1207,0.00,0.00,33.33,16,14.00,1.56,102,-10.88,1.34,0.00,0.00,0.00
36745,0.00,0.00,12.52,13.68,183,0.19,1224,0.00,0.00,33.33,16,13.00,1.57,102,-10.88,1.34,0.00,0.00,0.00
37001,0.00,0.00,12.52,13.68,183,0.19,1224,0.00,0.00,33.33,16,12.00,1.56,102,-11.03,1.34,0.00,0.00,0.00
37258,0.00,0.00,12.52,13.68,183,0.20,1215,0.00,0.00,33.33,16,13.00,1.57,102,-11.03,1.34,0.00,0.00,0.00
37514,0.00,0.00,12.52,13.68,183,0.19,1224,0.00,0.00,33.33,16,14.00,1.57,102,-10.88,1.34,0.00,0.00,0.00
37772,0.00,0.00,12.52,13.68,183,0.20,1221,0.00,0.00,33.33,16,12.50,1.56,102,-10.88,1.34,0.00,0.00,0.00
38029,0.00,0.00,12.52,13.68,183,0.20,1212,0.00,0.00,33.33,16,13.50,1.55,102,-11.03,1.34,0.00,0.00,0.00
38285,0.00,0.00,12.52,13.76,183,0.20,1204,0.00,0.00,33.33,16,14.00,1.54,102,-10.88,1.34,0.00,0.00,0.00
38542,0.00,0.00,12.52,13.76,183,0.19,1226,0.00,0.00,33.33,16,11.50,1.57,102,-10.88,1.34,0.00,0.00,0.00
38799,0.00,0.00,12.52,13.68,183,0.18,1214,0.00,0.00,33.33,16,13.00,1.55,102,-11.03,1.34,0.00,0.00,0.00
39057,0.00,0.00,12.63,13.68,183,0.19,1237,0.00,0.00,33.33,16,12.00,1.58,102,-11.03,1.34,0.00,0.00,0.00
39313,0.00,0.00,12.63,13.76,183,0.19,1234,0.00,0.00,33.33,16,11.50,1.58,102,-11.03,1.34,0.00,0.00,0.00
39570,0.00,0.00,12.63,13.76,183,0.19,1244,0.00,0.00,33.33,16,12.50,1.58,102,-11.03,1.34,0.00,0.00,0.00
39827,0.00,0.00,12.63,13.52,183,0.19,1224,0.00,0.00,33.33,16,13.50,1.58,102,-11.03,1.34,0.00,0.00,0.00
40084,0.00,0.00,12.52,13.52,183,0.19,1235,0.00,0.00,33.33,16,12.00,1.57,102,-11.03,1.34,0.00,0.00,0.00
40341,0.00,0.00,12.52,13.52,183,0.19,1230,0.00,0.00,33.33,16,13.00,1.58,102,-11.03,1.34,0.00,0.00,0.00
40598,0.00,0.00,12.52,13.60,183,0.19,1226,0.00,0.00,33.33,16,13.00,1.58,102,-11.03,1.34,0.00,0.00,0.00
40854,0.00,0.00,12.52,13.52,183,0.19,1225,0.00,0.00,33.33,16,13.00,1.57,102,-11.03,1.34,0.00,0.00,0.00
41112,0.00,0.00,12.52,13.60,183,0.19,1222,0.00,0.00,33.33,16,13.00,1.56,102,-11.03,1.34,0.00,0.00,0.00
41367,0.00,0.00,12.52,13.60,183,0.19,1243,0.00,0.00,33.33,16,11.00,1.59,102,-11.03,1.34,0.00,0.00,0.00
41624,0.00,0.00,12.52,13.60,183,0.19,1234,0.00,0.00,33.33,16,12.00,1.58,102,-11.03,1.34,0.00,0.00,0.00
41882,0.00,0.00,12.52,13.60,183,0.19,1220,0.00,0.00,33.33,16,13.50,1.56,102,-11.03,1.34,0.00,0.00,0.00
42139,0.00,0.00,12.52,13.60,183,0.19,1240,0.00,0.00,33.33,16,11.50,1.59,102,-11.03,1.34,0.00,0.00,0.00
42395,0.00,0.00,12.52,13.60,183,0.19,1232,0.00,0.00,33.33,16,12.50,1.58,102,-11.03,1.34,0.00,0.00,0.00
42652,0.00,0.00,12.52,13.60,183,0.19,1228,0.00,0.00,33.33,16,13.00,1.57,102,-11.03,1.34,0.00,0.00,0.00
42910,0.00,0.00,12.52,13.60,183,0.19,1238,0.00,0.00,33.33,16,11.50,1.59,102,-11.03,1.34,0.00,0.00,0.00
43167,0.00,0.00,12.40,13.44,183,0.19,1233,0.00,0.00,33.33,16,12.50,1.57,102,-11.03,1.34,0.00,0.00,0.00
43423,0.00,0.00,12.52,13.52,183,0.19,1240,0.00,0.00,33.33,16,11.50,1.60,102,-11.03,1.34,0.00,0.00,0.00
43680,0.00,0.00,12.40,13.44,183,0.19,1248,0.00,0.00,33.33,16,11.50,1.58,102,-11.03,1.34,0.00,0.00,0.00
43937,0.00,0.00,12.40,13.52,183,0.19,1234,0.00,0.00,33.33,16,13.00,1.58,102,-11.03,1.34,0.00,0.00,0.00
44195,0.00,0.00,12.52,13.52,183,0.19,1233,0.00,0.00,33.33,16,14.00,1.58,102,-11.03,1.34,0.00,0.00,0.00
