Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Knock Correction Advance (degrees),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
25723,2.34,-1.56,15.04,13.60,194,0.81,3696,0.00,-1.05,66.67,16,6.00,6.31,82,2.50,-6.09,2.44,3.14,15.29
25980,6.25,-3.12,14.93,13.60,194,0.79,3759,0.00,-1.05,66.67,16,6.00,6.42,82,2.50,-6.09,2.44,3.14,15.29
26237,5.47,-1.56,14.59,13.60,194,0.84,3634,0.00,-0.70,66.67,16,9.50,6.98,82,3.50,-5.80,2.48,3.92,15.69
26494,4.69,-1.56,14.59,13.76,194,0.85,3689,0.00,-0.70,66.67,16,-5.00,7.08,82,3.50,-5.51,2.50,4.31,16.08
26752,3.12,-1.56,14.70,13.52,194,0.84,3666,0.00,-0.70,66.67,16,29.50,7.04,82,3.50,-5.66,2.50,4.31,16.08
27009,2.34,-1.56,14.70,13.52,194,0.84,3714,0.00,-0.70,66.67,16,7.00,7.13,82,3.50,-5.51,2.50,4.71,16.47
27266,6.25,-1.56,14.81,13.52,192,0.94,3612,0.00,0.00,66.67,16,30.50,7.71,82,4.50,-4.50,2.62,7.06,18.43
27524,10.16,-1.56,15.39,13.76,192,1.00,3742,0.00,0.00,66.67,16,30.50,8.78,82,4.50,-3.05,2.72,10.20,21.18
27781,6.25,-1.56,14.36,13.68,192,1.02,3776,0.00,0.00,66.67,16,30.50,9.67,82,4.50,-2.18,2.78,10.98,21.57
28038,0.78,-1.56,14.36,13.52,192,1.07,3714,0.00,0.00,66.67,16,8.00,9.46,82,4.50,-1.89,2.84,11.76,21.96
28294,-0.78,-1.56,14.70,13.52,192,1.10,3776,0.00,0.00,66.67,16,8.50,9.67,82,4.50,-1.16,2.88,11.76,22.35
28552,-3.91,-1.56,14.47,13.60,192,1.12,3733,0.00,0.00,66.67,16,30.50,9.56,82,4.50,-0.73,2.90,11.76,22.35
28809,-5.47,-1.56,14.70,13.60,192,1.10,3880,0.00,0.00,66.67,16,8.50,9.93,82,4.50,-0.58,2.92,11.76,22.35
29065,-7.81,-1.56,14.70,13.76,190,1.13,3894,0.00,0.00,66.67,16,11.50,10.80,82,4.50,-0.29,2.94,12.16,22.35
