Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%)
32923,-3.12,6.25,14.70,13.52,178,0.84,3241,0.00,0.00,66.67,16,46.00,7.61,106,12.91,-1.89,2.66,7.84,21.96
33179,-3.12,6.25,14.70,13.44,178,0.84,3291,0.00,0.00,66.67,16,31.00,7.72,106,12.91,-1.89,2.68,7.45,21.57
33436,-3.91,6.25,14.59,13.52,178,0.85,3296,0.00,0.00,66.67,16,31.00,7.74,106,12.91,-1.89,2.66,7.45,21.57
33693,-3.12,6.25,14.59,13.36,178,0.85,3381,0.00,0.00,66.67,16,33.50,7.78,106,12.91,-1.89,2.68,7.45,21.57
33951,-3.12,6.25,14.59,13.36,178,0.82,3337,0.00,0.00,66.67,16,31.00,7.98,106,12.77,-2.03,2.68,7.45,21.18
34207,-1.56,6.25,14.81,13.44,178,0.82,3431,0.00,0.00,66.67,16,31.00,8.07,106,12.77,-2.03,2.68,7.45,21.18
34464,-2.34,6.25,14.70,13.44,178,0.81,3431,0.00,0.00,66.67,16,36.00,8.05,106,12.62,-2.18,2.68,7.45,21.18
34721,-2.34,6.25,14.70,13.44,178,0.81,3453,0.00,0.00,66.67,16,38.50,8.10,106,12.62,-2.18,2.70,7.45,21.18
34979,-2.34,6.25,14.59,13.52,178,0.81,3510,0.00,0.00,66.67,16,46.00,8.24,106,12.62,-2.18,2.68,7.06,21.18
35236,-3.12,6.25,14.59,13.44,178,0.80,3539,0.00,0.00,66.67,16,37.50,8.31,106,12.33,-2.47,2.68,7.06,20.78
35494,0.00,6.25,14.36,13.52,178,0.78,3582,0.00,0.00,66.67,16,31.00,8.40,106,12.33,-2.47,2.68,7.06,20.78
35751,0.00,6.25,14.01,13.52,178,0.80,3573,0.00,0.00,66.67,16,31.00,8.38,106,12.33,-2.47,2.70,7.06,20.78
36007,0.00,6.25,14.01,13.52,178,0.80,3609,0.00,0.00,66.67,16,31.00,8.47,106,12.19,-2.61,2.70,6.67,20.78
36265,0.00,6.25,14.13,13.20,178,0.77,3689,0.00,0.00,66.67,16,34.00,8.51,106,11.90,-2.90,2.70,5.88,19.22
36522,-3.12,6.25,11.83,13.28,178,0.37,3612,0.00,0.00,66.67,16,24.50,4.54,106,4.21,-10.59,1.86,0.00,0.00
36779,0.00,6.25,11.71,13.28,178,0.28,3294,0.00,0.00,66.67,16,20.00,0.00,106,3.34,-11.46,1.78,0.00,0.00
37036,0.00,6.25,14.70,13.36,178,0.19,2862,0.00,0.00,66.67,16,4.50,0.00,106,3.48,-11.32,1.88,0.00,5.88
37293,0.00,6.25,21.36,13.44,178,0.92,2576,0.00,0.00,33.33,16,6.00,6.60,106,11.90,-2.90,2.60,4.31,23.92
37551,0.00,6.25,16.08,13.52,178,0.91,2576,0.00,0.00,33.33,16,21.50,6.60,106,13.35,-1.45,2.54,9.80,24.31
37808,13.28,6.25,15.16,13.52,178,0.93,2584,0.00,0.00,33.33,16,31.00,7.72,106,13.64,-1.16,2.56,10.20,24.71
38065,15.62,6.25,13.90,13.52,178,0.95,2579,0.00,0.00,33.33,16,36.50,7.70,106,14.07,-0.73,2.56,10.20,25.88
38322,13.28,6.25,13.44,13.52,178,0.95,2628,0.00,0.00,33.33,16,34.00,7.85,106,14.36,-0.44,2.58,10.20,26.27
38580,10.94,6.25,13.55,13.52,178,0.97,2631,0.00,0.00,33.33,16,38.00,7.86,106,14.51,-0.29,2.60,10.20,26.67
38836,3.12,6.25,14.01,13.52,178,0.97,2665,0.00,0.00,33.33,16,45.50,7.39,106,14.65,0.00,2.62,10.20,27.06
