Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Feedback Knock Correction* (degrees),Fine Learning Knock Correction* (degrees),Fuel Pump Duty (%),IAM* (raw ecu value),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (F),Manifold Absolute Pressure (psi),Manifold Relative Pressure (psi),Mass Airflow Sensor Voltage (V),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Turbo Dynamics Burst* (absolute %)
31557,-22.66,-0.78,12.52,13.28,180,0.07,815,0.00,0.00,33.33,16,12.50,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
31832,-22.66,-0.78,12.52,13.28,180,0.07,815,0.00,0.00,33.33,16,11.50,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
32106,-21.88,-0.78,12.52,13.36,180,0.08,818,0.00,0.00,33.33,16,13.00,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
32380,-22.66,-0.78,12.52,13.44,180,0.07,811,0.00,0.00,33.33,16,12.50,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
32655,-22.66,-0.78,12.52,13.36,180,0.07,818,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
32929,-22.66,-0.78,12.52,13.28,180,0.09,811,0.00,0.00,33.33,16,12.00,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
33203,-22.66,-0.78,12.52,13.28,180,0.08,819,0.00,0.00,33.33,16,11.50,1.05,66,4.64,-10.16,1.20,0.00,0.00,0.00
33478,-22.66,-0.78,12.52,13.28,180,0.08,826,0.00,0.00,33.33,16,10.50,1.04,66,4.64,-10.16,1.22,0.00,0.00,0.00
33752,-22.66,-0.78,12.52,13.60,180,0.08,836,0.00,0.00,33.33,16,10.00,1.07,66,4.64,-10.30,1.20,0.00,0.00,0.00
34026,-22.66,-0.78,12.63,13.60,180,0.07,833,0.00,0.00,33.33,16,11.50,1.07,66,4.50,-10.30,1.18,0.00,0.00,0.00
34301,-22.66,-0.78,12.63,13.60,180,0.07,817,0.00,0.00,33.33,16,12.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
34575,-22.66,-0.78,12.63,13.52,181,0.07,815,0.00,0.00,33.33,16,13.00,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
34850,-22.66,-0.78,12.52,13.52,181,0.07,807,0.00,0.00,33.33,16,14.00,1.03,66,4.50,-10.30,1.18,0.00,0.00,0.00
35124,-22.66,-0.78,12.52,13.52,181,0.07,814,0.00,0.00,33.33,16,11.50,1.03,66,4.50,-10.16,1.20,0.00,0.00,0.00
35398,-22.66,-0.78,12.52,13.44,181,0.07,816,0.00,0.00,33.33,16,11.50,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
35672,-22.66,-0.78,12.40,13.44,181,0.07,825,0.00,0.00,33.33,16,10.50,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
35947,-22.66,-0.78,12.40,13.36,181,0.07,819,0.00,0.00,33.33,16,11.50,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
36221,-22.66,-0.78,12.52,13.36,181,0.07,811,0.00,0.00,33.33,16,11.50,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
36496,-22.66,-0.78,12.52,13.44,181,0.07,806,0.00,0.00,33.33,16,13.00,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
36770,-22.66,-0.78,12.52,13.20,181,0.07,813,0.00,0.00,33.33,16,11.50,1.04,66,4.64,-10.30,1.18,0.00,0.00,0.00
37044,-22.66,-0.78,12.52,13.20,181,0.07,830,0.00,0.00,33.33,16,10.50,1.06,66,4.50,-10.30,1.18,0.00,0.00,0.00
37319,-22.66,-0.78,12.52,13.28,181,0.07,824,0.00,0.00,33.33,16,11.00,1.05,66,4.50,-10.30,1.18,0.00,0.00,0.00
37593,-22.66,-0.78,12.52,13.28,181,0.07,824,0.00,0.00,33.33,16,11.00,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
37868,-22.66,-0.78,12.52,13.28,181,0.07,807,0.00,0.00,33.33,16,13.00,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
38142,-22.66,-0.78,12.40,13.52,181,0.08,819,0.00,0.00,33.33,16,11.00,1.04,66,4.64,-10.16,1.20,0.00,0.00,0.00
38417,-22.66,-0.78,12.52,13.52,181,0.08,816,0.00,0.00,33.33,16,11.50,1.05,66,4.64,-10.16,1.22,0.00,0.00,0.00
38691,-22.66,-0.78,12.63,13.52,181,0.07,842,0.00,0.00,33.33,16,9.00,1.08,66,4.64,-10.16,1.18,0.00,0.00,0.00
38965,-22.66,-0.78,12.52,13.36,181,0.07,838,0.00,0.00,33.33,16,10.00,1.07,66,4.50,-10.30,1.18,0.00,0.00,0.00
39240,-22.66,-0.78,12.63,13.36,181,0.07,832,0.00,0.00,33.33,16,11.50,1.06,66,4.50,-10.30,1.20,0.00,0.00,0.00
39514,-22.66,-0.78,12.63,13.44,181,0.07,832,0.00,0.00,33.33,16,11.00,1.07,66,4.50,-10.30,1.20,0.00,0.00,0.00
39788,-22.66,-0.78,12.75,13.52,181,0.07,825,0.00,0.00,33.33,16,11.50,1.04,66,4.50,-10.30,1.20,0.00,0.00,0.00
40063,-22.66,-0.78,12.63,13.44,181,0.07,810,0.00,0.00,33.33,16,13.00,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
40337,-22.66,-0.78,12.52,13.52,181,0.07,807,0.00,0.00,33.33,16,13.00,1.03,66,4.50,-10.30,1.18,0.00,0.00,0.00
40612,-22.66,-0.78,12.40,13.68,181,0.07,814,0.00,0.00,33.33,16,12.50,1.04,66,4.50,-10.30,1.18,0.00,0.00,0.00
40886,-22.66,-0.78,12.40,13.68,181,0.07,813,0.00,0.00,33.33,16,11.50,1.05,66,4.64,-10.16,1.18,0.00,0.00,0.00
